age_calkaBP	SeaLev_shortPC1	SeaLev_longPC1	SeaLev_longPC1_err_sig
0	8.49	8.96	5.72
1	7.63	7.72	5.13
2	4.01	5.96	4.69
3	4.35	3.54	4.42
4	3.13	1.88	4.39
5	0	0	4.54
6	-4.01	-2	5.43
7	-6.11	-5.38	6.89
8	-9.09	-7.12	8.66
9	-15.83	-11.6	10.87
10	-24.59	-23.18	13.05
11	-35.85	-36.19	14.92
12	-51.05	-49.72	15.38
13	-66.3	-64.58	15.65
14	-76.64	-75.97	16.08
15	-86.57	-86.08	16.33
16	-98.06	-98.43	16.26
17	-107.3	-108.23	15.9
18	-113.01	-113.85	15.05
19	-116.68	-117	14.4
20	-117.56	-116.4	13.9
21	-120.01	-118.61	12.14
22	-125.82	-125.91	9.97
23	-128.72	-128.71	6.49
24	-130	-130	5.48
25	-126.89	-124.87	5.87
26	-122.4	-119.21	6.84
27	-118.28	-114.93	6.7
28	-115.19	-112.19	6.88
29	-110.87	-107.65	6.6
30	-105.78	-102.07	6.62
31	-103.5	-99.97	6.49
32	-100.63	-96.01	6.64
33	-97.48	-93.69	7.04
34	-97.37	-93.5	7.22
35	-98.83	-97.21	7.47
36	-99.39	-97.2	7.4
37	-95.27	-93.4	6.97
38	-93.1	-91.82	6.34
39	-90.3	-88.47	6.05
40	-85.9	-83.13	6.16
41	-79.76	-78.15	5.79
42	-75.76	-74.61	5.18
43	-73.91	-73.02	4.9
44	-76.18	-72.61	4.81
45	-74.49	-71.01	5.04
46	-75.78	-70.25	5.33
47	-73.7	-71.4	5.51
48	-76.71	-72.53	5.81
49	-73.75	-70.54	6.08
50	-68.3	-66.69	6.4
51	-63.11	-65.99	7.09
52	-67.88	-68.05	8.26
53	-68.85	-69.87	8.81
54	-70.05	-71.66	8.88
55	-72.26	-74.43	8.82
56	-78.03	-78.68	8.6
57	-82.74	-81.58	8.51
58	-85.71	-81.85	9.41
59	-82.94	-76.51	10.52
60	-84.73	-77.47	10.88
61	-86.56	-78.58	10.85
62	-84.32	-79.92	10.8
63	-84.75	-79.92	9.73
64	-83.48	-77.22	8.38
65	-82.72	-78.75	7.52
66	-82.47	-80.56	8.15
67	-79.37	-80.05	8.98
68	-71.06	-68.37	10.11
69	-68.11	-64.56	11.75
70	-65.39	-60.11	12.01
71	-51.43	-50.56	12.81
72	-46.71	-43.6	12.96
73	-43.84	-38.44	12.79
74	-36.18	-33.23	12.02
75	-33.06	-27.81	10.95
76	-31.58	-26.3	9.82
77	-27.69	-26.85	9.73
78	-28.8	-27.39	9.61
79	-32.95	-32.53	9.36
80	-30.85	-32.48	8.55
81	-31.36	-32.68	9.9
82	-29.64	-31.47	10.85
83	-25.57	-24.15	11.71
84	-30.66	-27.87	11.41
85	-29.99	-29.96	11.38
86	-38.77	-33.19	11.17
87	-43.09	-36.68	10.74
88	-46.6	-41.15	10.33
89	-43.44	-40.65	10.16
90	-43.63	-38.17	9.71
91	-40.3	-35.91	9.1
92	-41.67	-39.37	8.27
93	-42.16	-41.76	7.38
94	-40.52	-41.82	7.82
95	-34.24	-34.94	8.88
96	-27.74	-25.61	9.35
97	-22.19	-20.95	8.82
98	-21.19	-19.34	8.28
99	-17.26	-16.97	8.25
100	-19.49	-17	8.92
101	-17.72	-16.69	9.75
102	-25.03	-28.14	9.47
103	-29.47	-31.04	8.95
104	-31.71	-32.55	7.02
105	-34.36	-35.22	6.72
106	-40.33	-38.48	6.43
107	-45.01	-41.37	6.19
108	-44.48	-42.91	6.04
109	-45.95	-45.17	6.4
110	-46.36	-45.58	6.92
111	-47.08	-47.87	7.55
112	-43.18	-44.12	8.36
113	-38.93	-39.03	9.4
114	-33.84	-33.75	10.23
115	-26.17	-29.37	10.8
116	-22.5	-24.99	11.12
117	-14.09	-17.04	11.13
118	-7.56	-9.18	11.01
119	-4	-4.89	10.4
120	2.68	-0.63	9.71
121	3.13	0.38	9.35
122	2.27	-2.96	9.3
123	1.2	-2.86	9.73
124	-1.18	-5.42	10.15
125	-6.65	-9.84	11.39
126	-12.72	-16.25	13.48
127	-27.1	-26.94	16.01
128	-36.13	-37.21	18.44
129	-52.95	-54.53	19.9
130	-73.72	-73.85	20.5
131	-82.93	-90.07	19.13
132	-102.14	-105.22	16.88
133	-114.38	-115.02	14.67
134	-120.26	-119.82	12.29
135	-123.76	-123.64	10.54
136	-123.95	-124.5	9.81
137	-123.61	-123.8	9.73
138	-122.72	-124.64	9.91
139	-120.94	-122.69	10.13
140	-118.88	-120.22	10.39
141	-113.45	-114.5	10.42
142	-110.78	-110.49	10.55
143	-106.75	-107.59	10.45
144	-102.4	-103.3	10.48
145	-100.34	-98.2	10.5
146	-100.71	-94.8	10.41
147	-99.52	-93.03	10.43
148	-99.18	-92.8	11.32
149	-96.94	-91.47	12.4
150	-90.79	-83.71	13.48
151	-86.92	-81.41	14.21
152	-85.9	-80.76	14.82
153	-85.22	-81.58	15.31
154	-86.91	-83.01	15.55
155	-89.71	-85.36	15.51
156	-92.51	-88.64	15.35
157	-92.67	-87.48	14.99
158	-88.91	-85.64	14.56
159	-87.94	-86.43	14.05
160	-86.95	-85.83	13.94
161	-85.29	-81.01	14.14
162	-78.74	-75.82	14.17
163	-77.08	-72.41	14.06
164	-74.42	-71.32	13.88
165	-71.66	-68.5	13.58
166	-65.29	-64.42	13.09
167	-61.69	-60.97	12.81
168	-61.52	-60.17	12.67
169	-58.16	-58.35	12.29
170	-55.34	-55.7	12.05
171	-57.68	-56.66	11.73
172	-64.45	-62.17	11.36
173	-63.15	-59.51	11.03
174	-62.14	-57.15	11.12
175	-61.42	-56.68	11.45
176	-63.68	-56.38	11.68
177	-62.61	-57.08	11.92
178	-66.03	-60.21	11.96
179	-68.55	-61.56	11.86
180	-68.12	-62.88	11.79
181	-68.54	-63.81	12.12
182	-68.59	-61.87	12.28
183	-68.86	-61.47	12.18
184	-70.31	-63.82	12.05
185	-71.5	-66.14	11.78
186	-67.51	-63.1	11.35
187	-64.13	-58.35	11.01
188	-58.98	-54.36	10.12
189	-55.74	-49.67	9.03
190	-50.97	-47.83	8.39
191	-44.91	-43.67	8.09
192	-37.3	-38.93	8.06
193	-32.83	-34.32	8.22
194	-32.43	-31.73	8.37
195	-26.14	-27.93	8.44
196	-21.7	-22.54	9.06
197	-13.48	-16.51	9.31
198	-10.09	-10.22	9.21
199	-7.72	-8.16	9.04
200	-11.24	-10.01	8.93
201	-19.54	-14.6	9.21
202	-21.5	-19.64	9.19
203	-26.54	-23.23	9.66
204	-23.73	-21.01	10.82
205	-14.39	-10.72	11.8
206	-9.84	-5.44	12.5
207	-14.1	-8.14	13.15
208	-10.13	-8.33	13.92
209	-10.6	-9.22	13.92
210	-11.47	-7.95	14.09
211	-9.45	-4.98	14.07
212	-7.38	-3.69	13.86
213	-6.78	-4.4	13.52
214	-7.05	-5.98	13.15
215	-9.18	-6.5	13.16
216	-13.1	-10.74	13.28
217	-23.51	-21.54	13.72
